107,0,-2.14,2.56
107,1,-0.36,-0.03
108,0,-2.14,2.56
108,1,-0.39,-0.03
109,0,-2.14,2.55
109,1,-0.42,-0.03
110,0,-2.14,2.55
110,1,-0.45,-0.04
111,0,-2.14,2.55
111,1,-0.48,-0.04
112,0,-2.14,2.54
112,1,-0.51,-0.04
113,0,-2.14,2.54
113,1,-0.54,-0.04
114,0,-2.14,2.54
114,1,-0.57,-0.04
115,0,-2.14,2.54
115,1,-0.60,-0.04
116,0,-2.14,2.53
116,1,-0.63,-0.04
117,0,-2.14,2.53
117,1,-0.66,-0.04
118,0,-2.14,2.53
118,1,-0.68,-0.04
119,0,-2.14,2.52
119,1,-0.71,-0.04
120,0,-2.14,2.52
120,1,-0.74,-0.04
121,0,-2.14,2.52
121,1,-0.77,-0.04
122,0,-2.14,2.52
122,1,-0.80,-0.04
123,0,-2.14,2.51
123,1,-0.83,-0.04
124,0,-2.14,2.51
124,1,-0.86,-0.04
125,0,-2.13,2.51
125,1,-0.89,-0.04
126,0,-2.13,2.50
126,1,-0.91,-0.04
127,0,-2.13,2.50
127,1,-0.94,-0.04
128,0,-2.13,2.50
128,1,-0.97,-0.04
129,0,-2.13,2.50
129,1,-1.00,-0.04
130,0,-2.13,2.49
130,1,-1.03,-0.04
131,0,-2.13,2.49
131,1,-1.05,-0.04
132,0,-2.13,2.49
132,1,-1.08,-0.04
133,0,-2.13,2.49
133,1,-1.11,-0.04
134,0,-2.13,2.48
134,1,-1.14,-0.04
135,0,-2.13,2.48
135,1,-1.17,-0.04
136,0,-2.13,2.48
136,1,-1.19,-0.04
137,0,-2.13,2.48
137,1,-1.22,-0.04
138,0,-2.13,2.47
138,1,-1.25,-0.04
139,0,-2.13,2.47
139,1,-1.28,-0.04
140,0,-2.13,2.47
140,1,-1.30,-0.04
141,0,-2.13,2.47
141,1,-1.33,-0.04
142,0,-2.13,2.46
142,1,-1.36,-0.04
143,0,-2.13,2.46
143,1,-1.38,-0.04
144,0,-2.13,2.46
144,1,-1.41,-0.04
145,0,-2.13,2.46
145,1,-1.44,-0.04
146,0,-2.13,2.45
146,1,-1.46,-0.04
147,0,-2.13,2.45
147,1,-1.49,-0.05
148,0,-2.13,2.45
148,1,-1.52,-0.05
149,0,-2.13,2.45
149,1,-1.54,-0.05
150,0,-2.13,2.44
150,1,-1.57,-0.05
151,0,-2.13,2.44
151,1,-1.60,-0.05
152,0,-2.13,2.44
152,1,-1.62,-0.05
153,0,-2.13,2.44
153,1,-1.65,-0.05
154,0,-2.13,2.43
154,1,-1.67,-0.05
155,0,-2.13,2.43
155,1,-1.70,-0.05
156,0,-2.13,2.43
156,1,-1.73,-0.05
157,0,-2.13,2.43
157,1,-1.75,-0.05
158,0,-2.13,2.42
158,1,-1.78,-0.05
159,0,-2.13,2.42
159,1,-1.80,-0.05
160,0,-2.13,2.42
160,1,-1.83,-0.05
161,0,-2.13,2.42
161,1,-1.85,-0.05
162,0,-2.13,2.41
162,1,-1.88,-0.05
163,0,-2.13,2.41
163,1,-1.90,-0.05
164,0,-2.13,2.41
164,1,-1.93,-0.05
165,0,-2.12,2.41
165,1,-1.95,-0.05
166,0,-2.12,2.41
166,1,-1.97,-0.05
167,0,-2.12,2.40
167,1,-2.00,-0.05
168,0,-2.12,2.40
168,1,-2.02,-0.05
169,0,-2.12,2.40
169,1,-2.05,-0.06
170,0,-2.12,2.40
170,1,-2.08,-0.08
171,0,-2.12,2.39
171,1,-2.10,-0.11
172,0,-2.12,2.39
172,1,-2.13,-0.13
173,0,-2.12,2.39
173,1,-2.15,-0.15
174,0,-2.12,2.39
174,1,-2.17,-0.18
175,0,-2.12,2.39
175,1,-2.20,-0.20
176,0,-2.12,2.38
176,1,-2.22,-0.22
177,0,-2.12,2.38
177,1,-2.24,-0.25
178,0,-2.12,2.38
178,1,-2.27,-0.27
179,0,-2.12,2.38
179,1,-2.29,-0.30
180,0,-2.12,2.38
180,1,-2.31,-0.32
181,0,-2.12,2.37
181,1,-2.34,-0.34
182,0,-2.12,2.37
182,1,-2.36,-0.37
183,0,-2.12,2.37
183,1,-2.39,-0.39
184,0,-2.12,2.37
184,1,-2.41,-0.41
185,0,-2.12,2.37
185,1,-2.43,-0.44
186,0,-2.12,2.36
186,1,-2.46,-0.46
187,0,-2.12,2.36
187,1,-2.48,-0.48
188,0,-2.12,2.36
188,1,-2.50,-0.51
189,0,-2.12,2.36
189,1,-2.53,-0.53
190,0,-2.12,2.36
190,1,-2.55,-0.55
191,0,-2.12,2.35
191,1,-2.57,-0.58
192,0,-2.12,2.35
192,1,-2.60,-0.60
