0,1,0.00,0.00
0,2,1.00,0.00
0,3,1.00,1.00
0,4,0.00,1.00
1,1,0.00,0.00
1,2,1.00,0.00
1,3,1.00,1.00
1,4,0.00,1.00
2,1,0.00,0.00
2,2,1.00,0.00
2,3,1.00,1.00
2,4,0.00,1.00
3,1,0.00,0.00
3,2,1.00,0.00
3,3,1.00,1.00
3,4,0.00,1.00
4,1,0.01,0.01
4,2,0.99,0.01
4,3,0.99,0.99
4,4,0.01,0.99
5,1,0.01,0.01
5,2,0.99,0.01
5,3,0.99,0.99
5,4,0.01,0.99
6,1,0.01,0.01
6,2,0.99,0.01
6,3,0.99,0.99
6,4,0.01,0.99
7,1,0.01,0.01
7,2,0.99,0.01
7,3,0.99,0.99
7,4,0.01,0.99
8,1,0.01,0.01
8,2,0.99,0.01
8,3,0.99,0.99
8,4,0.01,0.99
9,1,0.01,0.01
9,2,0.99,0.01
9,3,0.99,0.99
9,4,0.01,0.99
10,1,0.01,0.01
10,2,0.99,0.01
10,3,0.99,0.99
10,4,0.01,0.99
11,1,0.01,0.01
11,2,0.99,0.01
11,3,0.99,0.99
11,4,0.01,0.99
12,1,0.01,0.01
12,2,0.99,0.01
12,3,0.99,0.99
12,4,0.01,0.99
13,1,0.01,0.01
13,2,0.99,0.01
13,3,0.99,0.99
13,4,0.01,0.99
14,1,0.02,0.02
14,2,0.98,0.02
14,3,0.98,0.98
14,4,0.02,0.98
15,1,0.02,0.02
15,2,0.98,0.02
15,3,0.98,0.98
15,4,0.02,0.98
16,1,0.02,0.02
16,2,0.98,0.02
16,3,0.98,0.98
16,4,0.02,0.98
17,1,0.02,0.02
17,2,0.98,0.02
17,3,0.98,0.98
17,4,0.02,0.98
18,1,0.02,0.02
18,2,0.98,0.02
18,3,0.98,0.98
18,4,0.02,0.98
19,1,0.02,0.02
19,2,0.98,0.02
19,3,0.98,0.98
19,4,0.02,0.98
20,1,0.02,0.02
20,2,0.98,0.02
20,3,0.98,0.98
20,4,0.02,0.98
21,1,0.02,0.02
21,2,0.98,0.02
21,3,0.98,0.98
21,4,0.02,0.98
22,1,0.02,0.02
22,2,0.98,0.02
22,3,0.98,0.98
22,4,0.02,0.98
23,1,0.02,0.02
23,2,0.98,0.02
23,3,0.98,0.98
23,4,0.02,0.98
24,1,0.02,0.02
24,2,0.98,0.02
24,3,0.98,0.98
24,4,0.02,0.98
25,1,0.03,0.03
25,2,0.97,0.03
25,3,0.97,0.97
25,4,0.03,0.97
26,1,0.03,0.03
26,2,0.97,0.03
26,3,0.97,0.97
26,4,0.03,0.97
27,1,0.03,0.03
27,2,0.97,0.03
27,3,0.97,0.97
27,4,0.03,0.97
28,1,0.03,0.03
28,2,0.97,0.03
28,3,0.97,0.97
28,4,0.03,0.97
29,1,0.03,0.03
29,2,0.97,0.03
29,3,0.97,0.97
29,4,0.03,0.97
30,1,0.03,0.03
30,2,0.97,0.03
30,3,0.97,0.97
30,4,0.03,0.97
31,1,0.03,0.03
31,2,0.97,0.03
31,3,0.97,0.97
31,4,0.03,0.97
32,1,0.03,0.03
32,2,0.97,0.03
32,3,0.97,0.97
32,4,0.03,0.97
33,1,0.03,0.03
33,2,0.97,0.03
33,3,0.97,0.97
33,4,0.03,0.97
34,1,0.03,0.03
34,2,0.97,0.03
34,3,0.97,0.97
34,4,0.03,0.97
35,1,0.03,0.03
35,2,0.97,0.03
35,3,0.97,0.97
35,4,0.03,0.97
36,1,0.03,0.03
36,2,0.97,0.03
36,3,0.97,0.97
36,4,0.03,0.97
37,1,0.03,0.03
37,2,0.97,0.03
37,3,0.97,0.97
37,4,0.03,0.97
38,1,0.04,0.04
38,2,0.96,0.04
38,3,0.96,0.96
38,4,0.04,0.96
39,1,0.04,0.04
39,2,0.96,0.04
39,3,0.96,0.96
39,4,0.04,0.96
40,1,0.04,0.04
40,2,0.96,0.04
40,3,0.96,0.96
40,4,0.04,0.96
